beneficiary_id,program_id,registration_date,country,age,gender,household_size,vulnerability_score
BEN-181089,PROG-101,2025-12-12,DRC,94,male,1,0.77
BEN-891072,PROG-101,2024-11-04,Kenya,74,Female,9,0.93
BEN-749923,PROG-105,2025-05-17,Ethiopia,7,male,2,
BEN-227519,PROG-101,2024-08-29,DRC,8,female,4,0.46
BEN-419602,PROG-105,2025-09-14,Ethiopia,74,male,1,0.66
BEN-192079,PROG-104,2024-07-21,DRC,72,male,6,0.94
BEN-609270,PROG-102,2024-07-25,South Sudan,30,Male,7,0.22
BEN-665445,PROG-103,2024-08-13,Somalia,40,,2,0.11
BEN-726272,PROG-105,2024-12-18,DRC,12,M,9,0.29
BEN-768337,PROG-103,2025-04-12,Ethiopia,44,M,4,0.43
BEN-823679,PROG-102,2025-07-12,Somalia,69,female,5,0.65
BEN-267004,PROG-105,2025-04-22,Kenya,85,,9,0.37
BEN-997284,PROG-101,2026-05-06,Ethiopia,33,M,2,0.77
BEN-595838,PROG-102,2024-08-15,South Sudan,36,male,4,0.75
BEN-835758,PROG-102,2025-02-21,South Sudan,64,Female,5,0.91
BEN-796892,PROG-101,2024-09-20,Kenya,81,Female,5,0.14
BEN-317129,PROG-103,2024-07-13,Ethiopia,81,Male,3,0.77
BEN-145299,PROG-105,2025-08-03,Somalia,71,M,2,
BEN-726368,PROG-102,2024-10-18,DRC,4,,6,0.62
BEN-357377,PROG-102,2025-05-12,Somalia,16,M,5,0.43
BEN-692502,PROG-101,2024-11-10,South Sudan,26,female,4,0.7
BEN-621274,PROG-103,2024-12-10,DRC,150,male,12,0.24
BEN-175366,PROG-102,2025-10-17,Ethiopia,22,Female,1,0.26
BEN-634985,PROG-103,2025-03-12,Somalia,85,,12,0.83
BEN-518507,PROG-103,2025-10-15,Ethiopia,100,female,2,0.44
BEN-285353,PROG-101,2025-08-29,Somalia,28,F,8,0.41
BEN-763516,PROG-102,2026-05-04,Ethiopia,3,female,4,0.46
BEN-347031,PROG-103,2025-11-21,Kenya,98,Male,6,0.68
BEN-299979,PROG-104,2025-05-18,DRC,42,M,2,0.89
BEN-988359,PROG-103,2026-01-15,Ethiopia,74,Male,1,0.2
BEN-188534,PROG-104,2026-02-20,South Sudan,93,,6,0.49
BEN-162448,PROG-105,2024-10-27,Kenya,49,male,4,0.33
BEN-597492,PROG-104,2026-02-22,Kenya,66,,9,0.72
BEN-771437,PROG-102,2024-12-13,South Sudan,55,M,11,0.93
BEN-247932,PROG-105,2024-10-22,South Sudan,84,,2,0.75
BEN-658788,PROG-103,2025-04-21,DRC,39,female,7,0.39
BEN-119882,PROG-103,2025-10-28,DRC,-1,F,7,0.7
BEN-539590,PROG-104,2025-08-24,Ethiopia,78,male,5,0.47
BEN-850028,PROG-101,2025-09-13,South Sudan,36,F,7,0.81
BEN-435980,PROG-105,2025-09-25,South Sudan,59,Female,8,0.71
BEN-621529,PROG-105,2025-07-13,Somalia,94,F,11,0.18
BEN-319926,PROG-105,2025-05-19,DRC,42,M,4,0.71
BEN-886683,PROG-102,2025-09-08,Ethiopia,18,M,1,0.32
BEN-804775,PROG-104,2025-11-18,DRC,98,M,8,0.47
BEN-835872,PROG-105,2025-11-13,Ethiopia,91,female,7,0.54
BEN-221197,PROG-102,2024-12-18,Ethiopia,83,female,1,
BEN-244584,PROG-101,2025-01-13,Somalia,28,F,12,0.57
BEN-654564,PROG-101,2025-10-25,DRC,31,,2,0.51
BEN-354115,PROG-104,2025-03-04,DRC,71,male,6,0.96
BEN-869505,PROG-104,2025-08-06,DRC,92,male,7,0.85
BEN-932219,PROG-105,2026-01-04,Somalia,20,female,8,0.51
BEN-499598,PROG-102,2024-11-18,South Sudan,98,,9,0.54
BEN-156914,PROG-102,2025-07-04,South Sudan,56,M,12,0.36
BEN-559671,PROG-103,2025-12-12,South Sudan,40,male,2,0.22
BEN-311172,PROG-102,2024-11-29,Somalia,88,F,12,0.29
BEN-201568,PROG-104,2025-08-19,Somalia,42,male,8,0.47
BEN-734272,PROG-102,2026-03-17,Somalia,49,,10,0.95
BEN-357977,PROG-101,2025-04-23,DRC,48,Female,1,0.95
BEN-421055,PROG-103,2025-03-09,Somalia,53,male,12,0.76
BEN-760829,PROG-105,2025-03-18,Ethiopia,62,F,5,0.49
BEN-593150,PROG-101,2024-12-18,Somalia,43,female,11,0.82
BEN-530659,PROG-102,2024-07-20,Somalia,16,male,9,0.12
BEN-429494,PROG-104,2026-03-31,DRC,72,female,1,0.18
BEN-720765,PROG-104,2026-04-24,Ethiopia,59,F,1,0.33
BEN-667485,PROG-103,2025-05-29,Ethiopia,58,Male,6,0.79
BEN-829988,PROG-104,2026-01-06,South Sudan,96,,7,0.33
BEN-949586,PROG-101,2025-07-31,Somalia,2,female,9,0.15
BEN-875452,PROG-103,2024-09-11,Ethiopia,83,M,11,0.14
BEN-177077,PROG-101,2025-12-04,Ethiopia,25,,1,0.66
BEN-733594,PROG-102,2025-07-03,Ethiopia,60,female,2,0.61
BEN-907070,PROG-102,2026-05-27,Somalia,89,Male,6,0.25
BEN-199917,PROG-105,2025-06-25,Kenya,99,,3,0.97
BEN-672185,PROG-101,2025-03-12,DRC,3,Male,10,0.71
BEN-327396,PROG-104,2026-05-21,Somalia,91,F,2,0.63
BEN-896588,PROG-102,2024-11-02,Kenya,-1,,5,0.87
BEN-731124,PROG-105,2025-05-29,Kenya,72,,1,0.41
BEN-492860,PROG-104,2024-10-21,South Sudan,8,male,11,0.41
BEN-745209,PROG-104,2025-05-03,Somalia,13,Female,6,0.67
BEN-621941,PROG-104,2025-05-08,Ethiopia,55,F,12,0.57
BEN-335121,PROG-103,2026-03-26,DRC,68,,8,0.52
BEN-401789,PROG-105,2025-02-22,South Sudan,41,,4,0.85
BEN-329418,PROG-101,2024-09-18,South Sudan,57,F,8,0.61
BEN-429757,PROG-104,2026-01-28,South Sudan,3,Female,6,0.26
BEN-173284,PROG-102,2025-07-03,South Sudan,33,Male,5,0.89
BEN-173780,PROG-103,2025-01-12,DRC,1,male,4,0.18
BEN-973412,PROG-104,2024-06-23,Somalia,71,,4,0.72
BEN-188961,PROG-104,2025-12-22,Somalia,2,M,5,0.3
BEN-279264,PROG-102,2025-02-16,South Sudan,150,male,6,0.53
BEN-117013,PROG-105,2026-03-11,South Sudan,54,female,9,
BEN-535293,PROG-104,2026-02-08,South Sudan,39,Male,4,0.21
BEN-750293,PROG-102,2024-09-04,South Sudan,15,female,9,0.96
BEN-434050,PROG-102,2025-02-12,Ethiopia,27,female,8,0.35
BEN-853877,PROG-105,2025-09-13,DRC,76,Male,2,0.85
BEN-613251,PROG-103,2026-01-11,Ethiopia,46,F,5,0.11
BEN-479321,PROG-105,2024-12-31,Ethiopia,35,M,1,0.6
BEN-133630,PROG-102,2024-10-12,Somalia,13,,1,0.62
BEN-282925,PROG-104,2026-03-11,Somalia,56,Male,3,0.97
BEN-335865,PROG-103,2024-12-24,Somalia,14,,2,0.46
BEN-116822,PROG-101,2026-02-13,DRC,80,female,1,0.24
BEN-449771,PROG-105,2024-08-22,South Sudan,10,F,2,
BEN-852385,PROG-104,2025-01-04,DRC,76,,10,0.3
BEN-223406,PROG-105,2026-02-27,Somalia,57,Female,5,0.87
BEN-850122,PROG-104,2025-07-28,South Sudan,72,male,1,0.65
BEN-908313,PROG-101,2024-10-19,Ethiopia,80,F,5,0.69
BEN-545629,PROG-102,2026-05-13,Ethiopia,150,male,2,0.24
BEN-445703,PROG-104,2024-06-30,Somalia,88,male,8,0.36
BEN-293740,PROG-102,2025-01-06,South Sudan,90,Male,12,0.87
BEN-938168,PROG-101,2025-08-28,Ethiopia,33,,11,
BEN-605300,PROG-102,2025-05-23,Somalia,14,male,4,0.68
BEN-337644,PROG-103,2025-01-08,Ethiopia,9,M,3,0.81
BEN-406128,PROG-105,2025-11-13,DRC,36,Female,2,0.52
BEN-129771,PROG-103,2026-04-20,Somalia,34,male,9,0.54
BEN-368222,PROG-101,2024-10-03,DRC,5,Female,12,0.39
BEN-733928,PROG-103,2026-03-19,Kenya,11,F,11,0.85
BEN-758425,PROG-105,2026-02-11,DRC,2,,11,0.84
BEN-852525,PROG-105,2026-03-15,Kenya,97,,3,0.52
BEN-430597,PROG-104,2026-01-07,South Sudan,23,male,7,
BEN-610187,PROG-104,2025-09-14,Kenya,60,Male,7,0.4
BEN-549700,PROG-101,2025-11-09,Ethiopia,42,Female,12,0.55
BEN-862915,PROG-104,2024-11-29,DRC,4,Female,2,0.38
BEN-206180,PROG-103,2025-09-12,Kenya,98,Female,9,0.84
BEN-176818,PROG-101,2024-08-21,DRC,59,Female,1,0.27
BEN-770476,PROG-103,2024-07-15,DRC,96,Female,11,0.5
BEN-753870,PROG-101,2026-03-03,Ethiopia,34,male,3,0.93
BEN-510752,PROG-104,2025-04-07,Somalia,15,M,11,0.65
BEN-112520,PROG-102,2026-02-13,Ethiopia,39,male,1,0.6
BEN-121515,PROG-101,2024-07-17,Ethiopia,14,Female,2,0.68
BEN-737255,PROG-102,2024-06-18,Somalia,91,Male,9,0.73
BEN-232525,PROG-104,2026-04-20,Somalia,60,F,8,0.6
BEN-514884,PROG-104,2025-06-29,Ethiopia,76,male,12,0.89
BEN-734210,PROG-101,2025-08-30,South Sudan,98,,7,0.41
BEN-708724,PROG-105,2024-07-27,South Sudan,0,Male,12,
BEN-745490,PROG-105,2025-08-04,DRC,84,Female,3,0.5
BEN-587069,PROG-104,2024-11-21,South Sudan,42,male,9,0.44
BEN-544369,PROG-103,2025-05-04,Ethiopia,89,F,10,
BEN-513180,PROG-104,2025-09-20,Kenya,40,female,8,0.73
BEN-827648,PROG-104,2025-02-24,Somalia,84,,11,0.98
BEN-965563,PROG-104,2025-09-11,Kenya,16,male,10,0.4
BEN-522641,PROG-101,2025-10-15,Somalia,12,male,8,0.11
BEN-804595,PROG-102,2025-04-09,Somalia,83,F,2,0.52
BEN-232219,PROG-103,2024-11-17,South Sudan,79,female,7,0.68
BEN-525950,PROG-103,2025-06-29,DRC,48,Male,11,0.75
BEN-325475,PROG-104,2026-02-05,DRC,4,male,2,0.31
BEN-993470,PROG-103,2026-05-13,Ethiopia,95,M,7,0.98
BEN-959318,PROG-101,2026-02-23,Somalia,150,female,5,0.91
BEN-407504,PROG-101,2025-07-10,South Sudan,7,Male,6,0.44
BEN-296172,PROG-102,2025-09-10,Ethiopia,67,Female,10,0.71
BEN-921339,PROG-102,2025-12-02,Ethiopia,22,M,10,
BEN-374164,PROG-105,2024-11-14,Ethiopia,63,male,3,
BEN-961263,PROG-103,2026-01-24,Somalia,32,female,1,0.91
BEN-691660,PROG-104,2025-06-19,South Sudan,86,male,3,0.17
BEN-431052,PROG-103,2025-11-02,DRC,38,female,7,0.72
BEN-762345,PROG-104,2025-12-21,South Sudan,25,Female,8,0.2
BEN-961068,PROG-104,2026-04-29,DRC,45,male,5,0.99
BEN-663983,PROG-103,2025-11-08,Kenya,84,Female,5,0.11
BEN-610140,PROG-101,2026-01-02,DRC,95,Female,5,0.8
BEN-494066,PROG-102,2025-04-06,DRC,45,F,11,0.27
BEN-604720,PROG-103,2025-01-28,Ethiopia,80,M,11,0.68
BEN-104040,PROG-103,2024-07-14,Somalia,4,male,6,
BEN-504150,PROG-101,2025-09-14,South Sudan,41,female,7,0.26
BEN-174425,PROG-102,2024-09-21,DRC,46,male,9,0.92
BEN-104270,PROG-102,2024-07-31,South Sudan,61,,5,
BEN-290380,PROG-103,2025-04-25,Kenya,59,M,3,0.78
BEN-651060,PROG-102,2024-08-10,Somalia,71,Male,2,0.81
BEN-394752,PROG-101,2025-10-07,South Sudan,68,M,8,0.43
BEN-422357,PROG-103,2025-10-31,DRC,48,,11,0.95
BEN-930365,PROG-101,2026-03-17,Ethiopia,60,M,10,0.9
BEN-915989,PROG-105,2024-12-24,South Sudan,78,F,11,0.16
BEN-147554,PROG-104,2025-08-19,South Sudan,83,Female,2,0.23
BEN-431505,PROG-101,2026-02-23,South Sudan,63,M,2,0.31
BEN-361216,PROG-105,2025-06-05,Ethiopia,49,Female,6,
BEN-889764,PROG-105,2026-03-06,Somalia,75,female,12,0.24
BEN-667582,PROG-104,2025-07-04,Kenya,62,male,7,0.95
BEN-186595,PROG-103,2024-09-21,Kenya,88,Male,4,0.5
BEN-435984,PROG-102,2025-10-09,South Sudan,12,female,6,0.59
BEN-321014,PROG-103,2025-02-24,Kenya,50,Male,4,0.97
BEN-525577,PROG-104,2026-02-17,Kenya,84,F,11,0.68
BEN-706919,PROG-101,2024-10-23,Kenya,100,Male,4,
BEN-512758,PROG-105,2025-07-30,Ethiopia,8,,9,0.29
BEN-224020,PROG-102,2026-02-20,Ethiopia,42,,3,
BEN-733020,PROG-105,2025-06-12,Kenya,35,,3,0.99
BEN-993891,PROG-105,2024-10-31,South Sudan,22,M,11,0.88
BEN-999128,PROG-102,2024-07-30,Kenya,45,,4,0.63
BEN-851332,PROG-101,2025-05-25,Ethiopia,33,M,3,0.77
BEN-726340,PROG-105,2025-06-27,Kenya,95,M,8,0.5
BEN-585190,PROG-103,2025-12-05,DRC,75,M,8,0.55
BEN-179067,PROG-105,2025-07-22,Kenya,93,,11,0.57
BEN-789229,PROG-104,2024-09-06,Kenya,7,Female,7,0.48
BEN-723532,PROG-101,2024-11-29,Somalia,91,Female,2,0.91
BEN-751597,PROG-103,2025-02-21,DRC,18,M,3,0.35
BEN-282121,PROG-105,2025-10-20,DRC,91,Male,7,1.0
BEN-604750,PROG-105,2025-10-01,South Sudan,58,male,10,0.49
BEN-341560,PROG-101,2025-02-16,DRC,92,,4,0.49
BEN-542598,PROG-102,2025-08-09,Somalia,43,,8,0.46
BEN-569188,PROG-101,2025-05-31,South Sudan,54,Male,11,0.33
BEN-491671,PROG-102,2025-03-24,Somalia,8,M,2,0.18
BEN-315362,PROG-101,2025-05-01,South Sudan,16,male,1,0.63
BEN-989104,PROG-105,2026-03-13,DRC,42,female,2,0.47
BEN-267235,PROG-104,2025-01-13,Kenya,36,male,5,0.42
BEN-202363,PROG-105,2024-10-09,DRC,27,F,11,0.53
BEN-766516,PROG-101,2026-03-16,South Sudan,71,Male,2,0.79
BEN-146370,PROG-105,2024-08-30,Ethiopia,54,,9,0.98
BEN-452077,PROG-105,2025-12-17,DRC,86,female,9,0.12
BEN-247150,PROG-103,2025-07-07,Kenya,23,Male,12,0.79
BEN-660322,PROG-103,2025-09-27,South Sudan,0,F,3,0.61
BEN-844489,PROG-104,2025-08-10,Kenya,18,female,11,0.97
BEN-287754,PROG-101,2025-02-27,DRC,27,Female,7,0.51
BEN-779581,PROG-102,2026-01-09,South Sudan,39,female,6,0.8
BEN-280383,PROG-105,2025-08-08,DRC,10,M,3,0.24
BEN-910597,PROG-105,2025-08-04,Kenya,86,M,5,0.5
BEN-569215,PROG-104,2026-01-19,Somalia,77,Female,7,0.35
BEN-863929,PROG-105,2024-10-08,Kenya,44,Female,2,0.35
BEN-490694,PROG-105,2025-04-10,Somalia,67,female,5,
BEN-455659,PROG-104,2026-01-12,DRC,7,M,4,0.37
BEN-733426,PROG-102,2025-12-30,Ethiopia,97,Male,5,0.4
BEN-449333,PROG-101,2024-07-11,Somalia,95,Female,3,0.22
BEN-267286,PROG-105,2025-08-18,Ethiopia,-1,male,11,0.83
BEN-340134,PROG-101,2026-01-03,Somalia,94,M,7,0.12
BEN-772147,PROG-101,2024-06-18,South Sudan,73,Female,10,0.46
BEN-721931,PROG-104,2026-03-30,South Sudan,14,Female,1,0.97
BEN-219036,PROG-102,2025-02-15,DRC,58,,12,0.93
BEN-593108,PROG-101,2026-04-15,Somalia,13,F,7,0.63
BEN-869906,PROG-105,2026-05-12,Kenya,50,,5,0.77
BEN-609187,PROG-102,2026-03-08,South Sudan,99,F,2,0.56
BEN-888842,PROG-101,2024-10-17,DRC,65,F,6,0.42
BEN-156170,PROG-102,2024-08-06,Ethiopia,13,F,5,0.28
BEN-749873,PROG-105,2025-01-22,Ethiopia,97,,11,0.17
BEN-613863,PROG-104,2024-12-19,Somalia,96,male,10,0.5
BEN-313796,PROG-105,2024-10-21,DRC,41,,11,0.38
BEN-663609,PROG-104,2025-09-08,Kenya,60,Female,11,0.37
BEN-318947,PROG-103,2026-04-23,DRC,7,Male,9,0.17
BEN-955641,PROG-104,2026-02-01,Somalia,4,M,6,0.85
BEN-483518,PROG-101,2024-09-20,Kenya,78,male,9,0.45
BEN-907184,PROG-105,2025-10-12,DRC,94,M,8,
BEN-868768,PROG-105,2026-03-25,Ethiopia,41,male,8,
BEN-655148,PROG-101,2026-02-09,Somalia,13,,6,
BEN-105902,PROG-101,2025-08-02,DRC,82,F,1,
BEN-998013,PROG-104,2025-07-17,Somalia,67,male,10,0.24
BEN-497794,PROG-103,2025-03-28,South Sudan,49,Female,6,0.71
BEN-180400,PROG-101,2026-02-22,South Sudan,8,Male,2,0.6
BEN-908967,PROG-104,2025-04-26,South Sudan,32,female,11,0.97
BEN-468107,PROG-105,2025-01-09,Ethiopia,42,M,10,0.7
BEN-242183,PROG-103,2026-02-18,South Sudan,-1,female,11,0.45
BEN-251361,PROG-105,2025-03-08,Kenya,39,male,7,0.68
BEN-798138,PROG-103,2026-05-26,Ethiopia,85,female,12,1.0
BEN-438760,PROG-105,2025-03-22,Kenya,82,female,7,0.56
BEN-147094,PROG-101,2025-06-03,South Sudan,39,F,4,0.41
BEN-477329,PROG-104,2025-08-15,Ethiopia,28,F,3,0.17
BEN-330329,PROG-101,2025-07-10,DRC,98,male,12,0.9
BEN-205378,PROG-101,2025-05-09,South Sudan,98,male,3,0.64
BEN-588627,PROG-102,2025-11-16,Ethiopia,23,,12,0.79
BEN-729615,PROG-102,2025-07-20,Somalia,5,Female,6,0.71
BEN-920784,PROG-102,2025-10-11,Somalia,78,Male,12,0.81
BEN-231292,PROG-102,2026-02-27,DRC,30,Male,8,0.91
BEN-595116,PROG-102,2025-05-23,South Sudan,86,male,8,0.52
BEN-965292,PROG-103,2026-04-28,Somalia,64,male,7,
BEN-737893,PROG-102,2025-09-15,DRC,17,,5,
BEN-930207,PROG-104,2024-07-21,South Sudan,70,M,12,0.86
BEN-244480,PROG-101,2025-03-06,South Sudan,10,,3,0.35
BEN-383317,PROG-105,2024-11-23,Ethiopia,55,M,4,0.84
BEN-878449,PROG-103,2025-03-01,Kenya,53,M,7,0.55
BEN-837350,PROG-102,2025-10-19,Somalia,10,Male,4,0.13
BEN-885726,PROG-101,2024-10-22,South Sudan,18,F,1,0.36
BEN-634125,PROG-104,2025-05-23,Ethiopia,97,female,8,0.5
BEN-890608,PROG-101,2026-04-27,Kenya,2,Male,4,0.85
BEN-956234,PROG-105,2025-01-26,DRC,67,Female,2,0.8
BEN-444627,PROG-102,2025-07-30,South Sudan,15,M,4,0.48
BEN-803606,PROG-105,2026-04-29,Somalia,8,M,8,0.64
BEN-867051,PROG-101,2025-06-03,DRC,73,F,12,0.23
BEN-214824,PROG-104,2026-04-02,Kenya,78,Male,4,0.61
BEN-924781,PROG-102,2024-11-27,Kenya,67,Male,2,0.96
BEN-323077,PROG-105,2025-12-08,DRC,100,male,9,0.12
BEN-359948,PROG-104,2024-10-18,Kenya,81,Female,6,0.33
BEN-543125,PROG-101,2025-07-23,South Sudan,100,M,6,0.32
BEN-522841,PROG-101,2025-04-27,DRC,94,,6,0.22
BEN-976680,PROG-103,2024-10-04,DRC,43,,11,0.26
BEN-660204,PROG-104,2026-04-22,Somalia,80,F,3,0.16
BEN-356529,PROG-104,2025-02-23,Kenya,37,F,1,0.81
BEN-124603,PROG-101,2025-07-17,South Sudan,39,male,7,0.99
BEN-151408,PROG-105,2024-07-30,Somalia,32,M,11,0.27
BEN-310946,PROG-103,2025-07-24,Kenya,83,Male,5,0.21
BEN-252243,PROG-103,2025-10-21,Somalia,51,female,8,0.91
BEN-359737,PROG-104,2024-08-30,South Sudan,23,Female,12,0.55
BEN-621119,PROG-105,2025-05-25,South Sudan,10,female,7,0.17
BEN-782142,PROG-105,2026-02-13,Ethiopia,69,Male,6,0.19
BEN-777402,PROG-103,2025-02-06,South Sudan,39,Female,10,0.75
BEN-250298,PROG-102,2025-02-05,Somalia,44,Female,1,0.75
BEN-579206,PROG-103,2025-06-24,DRC,55,Male,11,0.98
BEN-857786,PROG-101,2024-09-27,Kenya,85,female,7,0.43
BEN-519435,PROG-102,2026-02-03,Kenya,18,,10,0.71
BEN-821563,PROG-104,2025-11-13,Kenya,16,M,4,0.8
BEN-677137,PROG-103,2025-10-09,South Sudan,49,male,1,0.64
BEN-675402,PROG-104,2024-06-19,South Sudan,47,Female,2,0.62
BEN-485046,PROG-105,2024-07-11,South Sudan,50,Male,11,0.35
BEN-775717,PROG-101,2025-07-02,Kenya,94,F,8,0.57
BEN-330288,PROG-105,2025-04-05,Kenya,33,,5,0.73
BEN-637134,PROG-102,2025-01-15,DRC,36,female,8,0.28
BEN-136656,PROG-102,2024-11-25,Kenya,57,F,12,0.5
BEN-494137,PROG-101,2024-07-29,South Sudan,85,Male,12,0.16
BEN-588246,PROG-105,2024-09-07,South Sudan,38,,3,0.74
BEN-376992,PROG-102,2024-08-24,South Sudan,150,F,2,0.99
BEN-940235,PROG-102,2025-07-21,Ethiopia,63,M,6,0.6
BEN-601457,PROG-103,2024-08-18,Somalia,70,F,10,0.9
BEN-164629,PROG-101,2026-02-11,South Sudan,50,female,12,0.53
BEN-438882,PROG-104,2025-04-15,Somalia,73,M,3,0.98
BEN-536430,PROG-101,2025-12-13,Somalia,59,female,9,0.41
BEN-740073,PROG-105,2024-07-15,DRC,23,,3,0.49
BEN-382461,PROG-101,2024-08-11,Kenya,66,F,5,0.25
BEN-325752,PROG-103,2025-05-16,Ethiopia,44,male,5,0.86
BEN-178119,PROG-103,2025-06-09,Ethiopia,81,male,5,0.21
BEN-130838,PROG-103,2025-12-26,DRC,68,M,9,0.68
BEN-176657,PROG-105,2026-03-10,DRC,19,F,11,0.66
BEN-675741,PROG-105,2025-02-08,South Sudan,72,M,1,0.17
BEN-846277,PROG-105,2024-12-12,South Sudan,83,F,10,0.47
BEN-939526,PROG-101,2024-08-14,Somalia,80,male,5,0.68
BEN-871821,PROG-103,2025-02-01,Somalia,31,,11,0.47
BEN-258337,PROG-104,2024-09-21,Kenya,88,M,3,0.5
BEN-772795,PROG-104,2024-10-13,Somalia,26,Male,10,0.23
BEN-558916,PROG-103,2026-02-13,South Sudan,51,F,6,0.56
BEN-123245,PROG-101,2025-07-16,South Sudan,30,Female,2,0.34
BEN-456708,PROG-102,2025-08-02,Ethiopia,12,M,5,0.95
BEN-778600,PROG-105,2025-11-01,Somalia,31,,3,
BEN-973409,PROG-105,2024-09-08,South Sudan,24,,3,0.55
BEN-913724,PROG-105,2024-09-12,Somalia,63,Male,8,0.12
BEN-834850,PROG-104,2025-08-15,DRC,58,F,4,0.63
BEN-505793,PROG-101,2026-05-15,Kenya,36,Female,10,0.89
BEN-757301,PROG-104,2025-11-22,South Sudan,68,M,2,0.49
BEN-822431,PROG-103,2024-11-17,South Sudan,97,Female,6,0.14
BEN-429222,PROG-101,2026-04-06,DRC,71,F,6,0.6
BEN-896189,PROG-101,2025-01-24,Somalia,64,Female,9,0.35
BEN-844625,PROG-105,2025-07-04,DRC,15,F,2,0.45
BEN-502955,PROG-103,2024-12-30,DRC,46,,3,0.28
BEN-599055,PROG-105,2025-05-09,Somalia,64,M,1,0.14
BEN-906564,PROG-103,2026-02-26,Somalia,66,Female,3,0.65
BEN-655591,PROG-105,2026-02-11,Ethiopia,41,male,6,0.25
BEN-924876,PROG-105,2025-08-19,South Sudan,75,Male,9,0.85
BEN-959768,PROG-105,2025-09-13,Somalia,90,male,5,0.53
BEN-713810,PROG-101,2025-11-17,South Sudan,42,female,2,0.98
BEN-351248,PROG-105,2024-12-01,South Sudan,92,,12,0.67
BEN-206721,PROG-105,2024-08-21,Somalia,33,female,10,
BEN-523154,PROG-101,2025-01-24,DRC,61,F,9,0.67
BEN-114989,PROG-105,2025-02-25,Somalia,18,,11,0.32
BEN-127150,PROG-105,2024-11-01,Kenya,24,M,8,0.38
BEN-130072,PROG-102,2025-01-13,Somalia,88,F,7,0.55
BEN-883322,PROG-105,2024-07-30,Somalia,94,female,1,0.74
