activity_id,beneficiary_id,activity_type,activity_date,staff_id,status
ACT-744976,BEN-726272,health screening,2026-04-16,STAFF-16,cancelled
ACT-964065,BEN-406128,education support,2026-05-12,STAFF-20,pending
ACT-919943,BEN-232525,health screening,2025-06-16,STAFF-15,cancelled
ACT-732239,BEN-775717,health screening,2026-01-07,STAFF-20,cancelled
ACT-451623,BEN-726368,health screening,2025-06-30,STAFF-4,completed
ACT-866160,BEN-804775,health screening,2026-01-29,STAFF-5,cancelled
ACT-447269,BEN-965292,food assistance,2026-05-16,STAFF-19,pending
ACT-727275,BEN-202363,food assistance,2026-02-22,STAFF-18,completed
ACT-342478,BEN-621274,food assistance,2025-11-03,STAFF-11,pending
ACT-435638,BEN-233028,health screening,2025-09-27,STAFF-1,pending
ACT-398512,BEN-647488,education support,2025-11-21,STAFF-18,cancelled
ACT-856511,BEN-504150,education support,2025-09-01,STAFF-14,cancelled
ACT-187650,BEN-766516,food assistance,2025-10-15,STAFF-3,cancelled
ACT-872324,BEN-447912,food assistance,2025-11-19,STAFF-10,completed
ACT-676215,BEN-156170,health screening,2025-11-21,STAFF-6,pending
ACT-167074,BEN-690277,education support,2026-03-17,STAFF-18,cancelled
ACT-940976,BEN-726272,health screening,2026-02-01,STAFF-18,pending
ACT-413057,BEN-713810,cash transfer,2026-01-11,STAFF-15,cancelled
ACT-575343,BEN-915989,cash transfer,2025-09-29,STAFF-8,pending
ACT-211740,BEN-756550,education support,2025-05-29,STAFF-9,pending
ACT-348675,BEN-604150,education support,2025-10-23,STAFF-4,completed
ACT-907658,BEN-822431,health screening,2025-12-30,STAFF-20,cancelled
ACT-934949,BEN-956234,food assistance,2025-08-09,STAFF-7,completed
ACT-248469,BEN-468107,health screening,2025-06-28,STAFF-18,pending
ACT-664520,BEN-119882,health screening,2025-06-17,STAFF-10,pending
ACT-917007,BEN-818074,cash transfer,2025-11-18,STAFF-5,pending
ACT-456950,BEN-434050,food assistance,2025-06-08,STAFF-5,completed
ACT-722675,BEN-758425,food assistance,2026-02-27,STAFF-13,pending
ACT-631846,BEN-543125,health screening,2025-12-20,STAFF-14,pending
ACT-563977,BEN-522841,cash transfer,2025-07-20,STAFF-13,cancelled
ACT-944824,BEN-536430,health screening,2025-09-22,STAFF-15,pending
ACT-740726,BEN-403627,cash transfer,2025-08-22,STAFF-15,cancelled
ACT-993486,BEN-587069,cash transfer,2025-08-25,STAFF-18,pending
ACT-762937,BEN-431505,food assistance,2025-12-27,STAFF-16,pending
ACT-124373,BEN-133630,health screening,2025-09-20,STAFF-18,cancelled
ACT-162599,BEN-891389,education support,2025-09-18,STAFF-11,cancelled
ACT-622289,BEN-683001,cash transfer,2026-04-28,STAFF-15,completed
ACT-443300,BEN-380448,food assistance,2026-01-16,STAFF-15,pending
ACT-496424,BEN-318166,education support,2025-10-03,STAFF-7,cancelled
ACT-700019,BEN-808199,health screening,2025-11-29,STAFF-6,pending
ACT-535080,BEN-544369,health screening,2025-07-24,STAFF-3,pending
ACT-728094,BEN-359737,food assistance,2025-11-17,STAFF-2,pending
ACT-623099,BEN-778600,food assistance,2025-06-11,STAFF-14,cancelled
ACT-298670,BEN-778596,cash transfer,2026-05-21,STAFF-7,pending
ACT-470791,BEN-231292,food assistance,2026-04-30,STAFF-17,cancelled
ACT-737158,BEN-751709,health screening,2025-07-10,STAFF-4,pending
ACT-178907,BEN-569188,cash transfer,2025-10-16,STAFF-8,pending
ACT-140394,BEN-414171,cash transfer,2025-08-29,STAFF-4,pending
ACT-657446,BEN-908313,food assistance,2025-07-14,STAFF-13,completed
ACT-142654,BEN-637134,food assistance,2025-10-29,STAFF-3,cancelled
ACT-309302,BEN-885726,food assistance,2025-11-06,STAFF-15,pending
ACT-702737,BEN-323077,food assistance,2026-01-01,STAFF-14,cancelled
ACT-139603,BEN-974262,food assistance,2025-06-21,STAFF-3,completed
ACT-177133,BEN-595838,education support,2025-10-02,STAFF-12,pending
ACT-377947,BEN-621274,food assistance,2025-09-12,STAFF-9,cancelled
ACT-629661,BEN-907184,health screening,2025-09-17,STAFF-1,cancelled
ACT-312429,BEN-201568,food assistance,2025-06-03,STAFF-13,pending
ACT-413082,BEN-436037,food assistance,2026-01-16,STAFF-16,pending
ACT-701281,BEN-844489,cash transfer,2026-05-22,STAFF-17,completed
ACT-311078,BEN-826746,health screening,2025-11-08,STAFF-5,pending
ACT-947175,BEN-468107,education support,2025-08-14,STAFF-12,cancelled
ACT-770700,BEN-523154,education support,2026-02-12,STAFF-3,completed
ACT-499877,BEN-741209,health screening,2026-01-12,STAFF-7,completed
ACT-820853,BEN-309517,education support,2025-08-07,STAFF-17,pending
ACT-812947,BEN-287754,education support,2025-10-28,STAFF-14,cancelled
ACT-467399,BEN-356529,food assistance,2025-08-01,STAFF-9,completed
ACT-790110,BEN-863929,food assistance,2026-04-22,STAFF-5,cancelled
ACT-515865,BEN-588627,cash transfer,2025-09-13,STAFF-10,cancelled
ACT-454113,BEN-440452,food assistance,2025-07-17,STAFF-2,completed
ACT-120224,BEN-667582,cash transfer,2026-05-12,STAFF-15,cancelled
ACT-600138,BEN-605300,food assistance,2026-05-07,STAFF-4,completed
ACT-487819,BEN-178119,cash transfer,2025-08-19,STAFF-6,pending
ACT-317435,BEN-340134,health screening,2025-11-30,STAFF-6,pending
ACT-732628,BEN-392205,health screening,2025-06-21,STAFF-4,completed
ACT-643333,BEN-431505,health screening,2025-08-31,STAFF-17,completed
ACT-670501,BEN-676704,cash transfer,2025-08-25,STAFF-16,pending
ACT-338004,BEN-795049,education support,2025-10-05,STAFF-19,completed
ACT-735892,BEN-401789,cash transfer,2025-09-18,STAFF-19,cancelled
ACT-119963,BEN-949586,cash transfer,2026-05-08,STAFF-2,completed
ACT-472801,BEN-604750,health screening,2026-02-08,STAFF-13,completed
ACT-403194,BEN-241919,cash transfer,2025-09-22,STAFF-18,cancelled
ACT-188029,BEN-394752,food assistance,2026-03-13,STAFF-11,completed
ACT-747973,BEN-558916,health screening,2026-04-29,STAFF-9,completed
ACT-475790,BEN-267004,cash transfer,2025-07-19,STAFF-6,completed
ACT-408248,BEN-683001,education support,2026-01-23,STAFF-3,pending
ACT-858965,BEN-354810,health screening,2026-03-24,STAFF-11,completed
ACT-633072,BEN-751709,health screening,2026-01-26,STAFF-7,pending
ACT-851842,BEN-445703,food assistance,2026-02-13,STAFF-15,pending
ACT-712038,BEN-452077,food assistance,2025-10-24,STAFF-18,completed
ACT-824176,BEN-212485,education support,2025-06-12,STAFF-1,completed
ACT-822050,BEN-976680,cash transfer,2025-07-05,STAFF-11,completed
ACT-861807,BEN-325475,health screening,2025-09-23,STAFF-4,completed
ACT-946862,BEN-199917,education support,2026-02-18,STAFF-16,completed
ACT-705653,BEN-175366,health screening,2025-06-05,STAFF-3,completed
ACT-359074,BEN-569318,education support,2025-11-06,STAFF-12,pending
ACT-252750,BEN-690450,cash transfer,2026-03-07,STAFF-17,completed
ACT-385979,BEN-431052,cash transfer,2025-11-19,STAFF-19,cancelled
ACT-451303,BEN-519435,food assistance,2025-06-20,STAFF-8,pending
ACT-771562,BEN-129771,education support,2026-05-23,STAFF-11,pending
ACT-505415,BEN-733594,cash transfer,2026-04-18,STAFF-7,completed
ACT-117470,BEN-205378,cash transfer,2025-11-30,STAFF-5,completed
ACT-101324,BEN-723532,health screening,2025-08-04,STAFF-14,completed
ACT-747874,BEN-898002,food assistance,2025-06-17,STAFF-15,pending
ACT-735551,BEN-891389,cash transfer,2025-09-21,STAFF-3,completed
ACT-571122,BEN-445703,cash transfer,2025-09-09,STAFF-7,pending
ACT-762566,BEN-939526,food assistance,2025-10-10,STAFF-12,pending
ACT-654590,BEN-637134,health screening,2025-11-25,STAFF-9,completed
ACT-571421,BEN-239765,education support,2025-09-07,STAFF-15,cancelled
ACT-354667,BEN-745209,cash transfer,2025-12-14,STAFF-15,completed
ACT-730318,BEN-621274,cash transfer,2025-12-02,STAFF-1,completed
ACT-405004,BEN-720765,food assistance,2025-10-04,STAFF-7,pending
ACT-486590,BEN-359948,cash transfer,2025-12-03,STAFF-19,cancelled
ACT-585510,BEN-347734,cash transfer,2025-08-20,STAFF-1,completed
ACT-977131,BEN-310946,education support,2025-07-05,STAFF-5,completed
ACT-612904,BEN-667689,health screening,2026-03-13,STAFF-4,completed
ACT-323450,BEN-939953,food assistance,2026-05-24,STAFF-19,pending
ACT-589756,BEN-762345,education support,2026-04-29,STAFF-1,pending
ACT-913109,BEN-850028,health screening,2026-03-25,STAFF-7,completed
ACT-316345,BEN-512758,food assistance,2025-09-07,STAFF-2,cancelled
ACT-272849,BEN-731124,health screening,2025-11-30,STAFF-16,pending
ACT-378420,BEN-491671,cash transfer,2025-11-30,STAFF-3,pending
ACT-915542,BEN-394752,food assistance,2025-08-30,STAFF-17,completed
ACT-827710,BEN-293055,cash transfer,2025-11-22,STAFF-13,cancelled
ACT-780815,BEN-313796,education support,2025-08-19,STAFF-12,cancelled
ACT-107898,BEN-374164,health screening,2026-05-25,STAFF-6,completed
ACT-257463,BEN-429494,cash transfer,2025-06-08,STAFF-9,completed
ACT-109713,BEN-604750,health screening,2025-09-01,STAFF-19,completed
ACT-627173,BEN-891072,food assistance,2025-09-30,STAFF-8,pending
ACT-442502,BEN-648691,cash transfer,2026-05-12,STAFF-8,cancelled
ACT-872679,BEN-601074,education support,2025-06-12,STAFF-12,completed
ACT-880747,BEN-231292,health screening,2026-02-25,STAFF-12,cancelled
ACT-379327,BEN-394142,health screening,2025-08-31,STAFF-19,cancelled
ACT-510438,BEN-309517,food assistance,2025-10-11,STAFF-16,cancelled
ACT-965188,BEN-146370,cash transfer,2026-04-05,STAFF-3,completed
ACT-371581,BEN-429494,cash transfer,2025-11-09,STAFF-17,pending
ACT-965244,BEN-970448,food assistance,2025-08-26,STAFF-5,pending
ACT-225711,BEN-190763,health screening,2025-09-01,STAFF-2,completed
ACT-117107,BEN-130838,food assistance,2026-01-06,STAFF-4,cancelled
ACT-483781,BEN-241919,cash transfer,2025-06-15,STAFF-12,cancelled
ACT-511597,BEN-762345,cash transfer,2025-12-08,STAFF-11,pending
ACT-320523,BEN-676704,food assistance,2025-06-17,STAFF-14,cancelled
ACT-112196,BEN-359737,health screening,2025-11-28,STAFF-6,cancelled
ACT-769244,BEN-536430,health screening,2025-06-17,STAFF-8,cancelled
ACT-974385,BEN-435980,education support,2025-11-08,STAFF-10,cancelled
ACT-446820,BEN-796892,food assistance,2025-10-23,STAFF-1,cancelled
ACT-811759,BEN-691660,cash transfer,2026-05-28,STAFF-6,cancelled
ACT-508082,BEN-857669,food assistance,2025-07-14,STAFF-19,completed
ACT-852902,BEN-175366,health screening,2026-04-24,STAFF-3,completed
ACT-447520,BEN-733928,food assistance,2026-04-13,STAFF-3,cancelled
ACT-180921,BEN-913724,health screening,2025-08-02,STAFF-15,completed
ACT-115533,BEN-745209,cash transfer,2026-03-26,STAFF-12,pending
ACT-270569,BEN-558916,cash transfer,2026-02-23,STAFF-2,pending
ACT-572841,BEN-394752,food assistance,2025-12-14,STAFF-14,pending
ACT-500441,BEN-514884,education support,2026-03-15,STAFF-4,pending
ACT-431688,BEN-438760,food assistance,2026-03-13,STAFF-6,pending
ACT-710036,BEN-433297,cash transfer,2025-08-30,STAFF-10,completed
ACT-335274,BEN-818074,cash transfer,2026-02-16,STAFF-3,pending
ACT-210003,BEN-325475,food assistance,2025-06-24,STAFF-3,cancelled
ACT-839265,BEN-588448,health screening,2026-01-13,STAFF-20,cancelled
ACT-878610,BEN-130838,cash transfer,2025-10-17,STAFF-14,cancelled
ACT-475158,BEN-835656,education support,2025-10-08,STAFF-6,completed
ACT-115141,BEN-201568,food assistance,2025-08-31,STAFF-14,cancelled
ACT-504535,BEN-480552,health screening,2025-07-22,STAFF-10,pending
ACT-294175,BEN-939953,education support,2025-09-24,STAFF-19,cancelled
ACT-715554,BEN-299979,cash transfer,2026-04-06,STAFF-12,completed
ACT-629631,BEN-852385,education support,2025-11-23,STAFF-7,completed
ACT-327919,BEN-668741,food assistance,2025-07-07,STAFF-10,completed
ACT-911973,BEN-768337,health screening,2025-07-14,STAFF-13,pending
ACT-401889,BEN-857786,health screening,2026-05-20,STAFF-3,cancelled
ACT-485013,BEN-835872,health screening,2026-02-04,STAFF-13,pending
ACT-882326,BEN-854589,health screening,2025-09-03,STAFF-15,pending
ACT-295319,BEN-696729,health screening,2025-05-29,STAFF-19,completed
ACT-233790,BEN-740073,cash transfer,2025-08-05,STAFF-3,cancelled
ACT-140504,BEN-613863,education support,2026-04-26,STAFF-19,completed
ACT-902985,BEN-318989,education support,2025-10-19,STAFF-17,pending
ACT-339048,BEN-940235,education support,2026-05-22,STAFF-19,completed
ACT-239980,BEN-731319,education support,2025-10-03,STAFF-2,cancelled
ACT-699503,BEN-733426,food assistance,2025-06-19,STAFF-4,pending
ACT-505563,BEN-658788,food assistance,2025-12-27,STAFF-7,completed
ACT-597040,BEN-475606,cash transfer,2026-05-05,STAFF-14,completed
ACT-330254,BEN-323077,food assistance,2026-05-22,STAFF-20,pending
ACT-707139,BEN-973409,cash transfer,2026-04-11,STAFF-3,pending
ACT-440757,BEN-483518,health screening,2025-09-06,STAFF-9,cancelled
ACT-433779,BEN-120208,cash transfer,2025-08-15,STAFF-20,cancelled
ACT-721387,BEN-394752,cash transfer,2026-01-31,STAFF-14,completed
ACT-176099,BEN-729615,cash transfer,2026-03-10,STAFF-4,cancelled
ACT-417802,BEN-571482,health screening,2025-06-08,STAFF-18,pending
ACT-665967,BEN-973412,education support,2026-01-18,STAFF-16,cancelled
ACT-127133,BEN-442779,food assistance,2025-06-27,STAFF-9,pending
ACT-315455,BEN-837350,education support,2025-06-14,STAFF-2,pending
ACT-890235,BEN-862915,food assistance,2025-07-11,STAFF-2,cancelled
ACT-761605,BEN-279264,health screening,2026-02-20,STAFF-1,pending
ACT-790938,BEN-445703,health screening,2026-03-21,STAFF-9,pending
ACT-863191,BEN-376992,cash transfer,2025-09-27,STAFF-8,completed
ACT-439487,BEN-844625,education support,2025-08-26,STAFF-11,pending
ACT-199546,BEN-383317,cash transfer,2025-08-12,STAFF-7,pending
ACT-523517,BEN-540143,education support,2026-05-09,STAFF-16,cancelled
ACT-856826,BEN-407622,cash transfer,2025-11-03,STAFF-17,completed
ACT-257334,BEN-846277,education support,2026-03-05,STAFF-5,cancelled
ACT-945700,BEN-640452,food assistance,2026-03-08,STAFF-7,completed
ACT-353008,BEN-745209,cash transfer,2025-08-26,STAFF-15,completed
ACT-505583,BEN-130838,food assistance,2026-05-25,STAFF-9,pending
ACT-206933,BEN-280383,education support,2026-03-13,STAFF-4,cancelled
ACT-979764,BEN-199421,health screening,2025-12-06,STAFF-16,cancelled
ACT-751008,BEN-241919,education support,2025-08-04,STAFF-19,cancelled
ACT-903112,BEN-771437,health screening,2025-06-21,STAFF-3,pending
ACT-755526,BEN-711238,cash transfer,2025-11-26,STAFF-6,cancelled
ACT-787426,BEN-760829,food assistance,2025-07-17,STAFF-8,cancelled
ACT-585069,BEN-621119,education support,2026-04-06,STAFF-17,completed
ACT-594267,BEN-955541,cash transfer,2025-06-23,STAFF-16,completed
ACT-942561,BEN-930207,cash transfer,2025-10-26,STAFF-8,pending
ACT-263018,BEN-943116,health screening,2026-02-18,STAFF-9,pending
ACT-671129,BEN-891389,health screening,2025-07-18,STAFF-15,pending
ACT-735887,BEN-545629,education support,2025-12-09,STAFF-19,completed
ACT-141128,BEN-547736,health screening,2026-03-08,STAFF-18,cancelled
ACT-976616,BEN-479321,health screening,2026-03-17,STAFF-4,pending
ACT-819357,BEN-434050,health screening,2025-06-17,STAFF-9,pending
ACT-125980,BEN-818074,health screening,2025-11-24,STAFF-7,completed
ACT-415836,BEN-327396,cash transfer,2026-01-24,STAFF-20,pending
ACT-371042,BEN-494137,food assistance,2025-12-21,STAFF-1,cancelled
ACT-218151,BEN-223406,health screening,2025-12-01,STAFF-14,pending
ACT-216729,BEN-145593,food assistance,2026-01-13,STAFF-11,cancelled
ACT-446908,BEN-940235,education support,2026-03-05,STAFF-12,cancelled
ACT-681317,BEN-539590,food assistance,2025-08-17,STAFF-10,completed
ACT-641957,BEN-896189,health screening,2025-07-11,STAFF-18,completed
ACT-111900,BEN-564216,health screening,2026-05-21,STAFF-3,completed
ACT-870102,BEN-502955,health screening,2026-03-05,STAFF-14,pending
ACT-225120,BEN-205378,health screening,2026-02-22,STAFF-15,completed
ACT-503335,BEN-233028,cash transfer,2025-11-29,STAFF-16,completed
ACT-953977,BEN-511571,education support,2026-02-09,STAFF-17,pending
ACT-856409,BEN-173977,food assistance,2025-06-10,STAFF-5,completed
ACT-839754,BEN-468107,education support,2025-09-14,STAFF-5,pending
ACT-386623,BEN-886683,cash transfer,2025-09-23,STAFF-16,pending
ACT-843822,BEN-621529,health screening,2025-11-24,STAFF-2,completed
ACT-221716,BEN-357977,food assistance,2025-10-16,STAFF-19,completed
ACT-506060,BEN-523154,cash transfer,2025-10-15,STAFF-5,cancelled
ACT-412490,BEN-431505,education support,2025-06-15,STAFF-14,pending
ACT-335431,BEN-442779,food assistance,2026-03-21,STAFF-12,completed
ACT-180996,BEN-713810,food assistance,2025-11-27,STAFF-1,cancelled
ACT-966224,BEN-756725,food assistance,2025-08-18,STAFF-8,cancelled
ACT-800538,BEN-337644,food assistance,2026-03-15,STAFF-4,pending
ACT-303748,BEN-293740,food assistance,2025-10-27,STAFF-3,completed
ACT-474636,BEN-116822,education support,2025-11-15,STAFF-17,cancelled
ACT-996588,BEN-667582,food assistance,2025-07-29,STAFF-11,pending
ACT-110651,BEN-244584,food assistance,2025-08-17,STAFF-13,completed
ACT-149733,BEN-973409,food assistance,2025-12-21,STAFF-7,cancelled
ACT-384490,BEN-498575,food assistance,2025-09-30,STAFF-4,pending
ACT-526511,BEN-648691,cash transfer,2025-09-07,STAFF-13,cancelled
ACT-507929,BEN-609187,cash transfer,2025-09-22,STAFF-20,completed
ACT-322884,BEN-782142,cash transfer,2025-10-30,STAFF-2,cancelled
ACT-838464,BEN-706919,education support,2026-01-01,STAFF-4,cancelled
ACT-996402,BEN-178119,food assistance,2025-08-22,STAFF-7,cancelled
ACT-448097,BEN-751709,health screening,2025-12-28,STAFF-14,cancelled
ACT-778722,BEN-267286,health screening,2025-06-04,STAFF-20,cancelled
ACT-835836,BEN-394752,cash transfer,2025-09-05,STAFF-17,cancelled
ACT-163684,BEN-479321,cash transfer,2026-02-27,STAFF-4,pending
ACT-340584,BEN-156914,health screening,2026-05-23,STAFF-17,completed
ACT-621303,BEN-504150,health screening,2026-04-20,STAFF-6,completed
ACT-959793,BEN-584198,food assistance,2025-10-14,STAFF-16,pending
ACT-851142,BEN-797943,cash transfer,2026-04-04,STAFF-4,cancelled
ACT-823635,BEN-763516,cash transfer,2026-04-20,STAFF-17,completed
ACT-272007,BEN-891072,health screening,2026-02-07,STAFF-8,pending
ACT-863629,BEN-223406,health screening,2025-08-03,STAFF-15,completed
ACT-633406,BEN-435980,cash transfer,2026-04-15,STAFF-10,pending
ACT-266860,BEN-406128,education support,2025-08-30,STAFF-4,completed
