disbursement_id,beneficiary_id,amount_usd,disbursement_date,payment_method,verified
DISB-561083,BEN-407504,70.38,2025-11-02,Bank Transfer,True
DISB-426710,BEN-844625,52.67,2025-09-14,Voucher,True
DISB-326653,BEN-130838,112.24,2026-04-06,Cash in Hand,True
DISB-640568,BEN-852385,78.35,2025-07-24,Mobile Money,True
DISB-481830,BEN-455659,35.52,2025-12-30,Bank Transfer,True
DISB-493357,BEN-205378,1466.33,2025-08-08,Cash in Hand,False
DISB-457365,BEN-965292,26.61,2025-08-28,Bank Transfer,True
DISB-501732,BEN-587069,29.47,2026-02-23,Cash in Hand,True
DISB-653373,BEN-571482,85.67,2026-04-15,Voucher,False
DISB-744357,BEN-760829,106.23,2026-01-02,Bank Transfer,True
DISB-737007,BEN-593108,81.73,2025-09-15,Mobile Money,True
DISB-865410,BEN-327396,137.58,2026-04-06,Cash in Hand,True
DISB-565243,BEN-758425,69.58,2025-07-22,Mobile Money,True
DISB-757414,BEN-479321,23.21,2026-04-05,Bank Transfer,True
DISB-783882,BEN-202363,25.7,2025-07-16,Cash in Hand,True
DISB-854354,BEN-982714,41.76,2026-01-20,Mobile Money,True
DISB-913888,BEN-359948,120.57,2025-11-09,Voucher,True
DISB-163872,BEN-667689,111.36,2026-03-25,Voucher,True
DISB-949819,BEN-599055,109.19,2025-09-24,Bank Transfer,False
DISB-148332,BEN-319926,123.25,2026-01-12,Cash in Hand,True
DISB-949942,BEN-733020,101.93,2025-06-04,Mobile Money,True
DISB-877275,BEN-531000,103.38,2026-02-25,Mobile Money,True
DISB-514615,BEN-355833,85.37,2026-01-23,Bank Transfer,True
DISB-226150,BEN-142999,76.9,2025-06-15,Mobile Money,True
DISB-258947,BEN-357377,117.08,2026-01-08,Bank Transfer,True
DISB-438662,BEN-637134,135.31,2026-02-06,Bank Transfer,True
DISB-276667,BEN-263565,133.72,2026-05-26,Mobile Money,False
DISB-452553,BEN-156170,91.18,2026-05-04,Cash in Hand,True
DISB-390986,BEN-121515,47.53,2025-06-08,Cash in Hand,True
DISB-381980,BEN-814932,52.86,2026-01-16,Mobile Money,True
DISB-965381,BEN-955641,79.96,2026-05-23,Bank Transfer,True
DISB-934111,BEN-499598,114.33,2026-01-29,Bank Transfer,True
DISB-759499,BEN-907070,33.01,2025-11-27,Cash in Hand,True
DISB-619891,BEN-956234,105.72,2025-08-05,Cash in Hand,True
DISB-349090,BEN-129771,144.63,2025-10-09,Bank Transfer,True
DISB-125977,BEN-429222,103.31,2025-09-19,Bank Transfer,True
DISB-948480,BEN-941552,82.39,2025-09-04,Bank Transfer,True
DISB-523371,BEN-310946,98.86,2025-08-14,Cash in Hand,True
DISB-412856,BEN-505793,135.22,2025-09-04,Mobile Money,True
DISB-725293,BEN-543125,24.06,2026-03-16,Voucher,True
DISB-336067,BEN-145593,91.71,2025-07-02,Voucher,True
DISB-489157,BEN-691660,49.03,2025-10-11,Bank Transfer,True
DISB-687061,BEN-817443,71.58,2025-06-09,Cash in Hand,True
DISB-133281,BEN-890608,108.94,2025-07-22,Cash in Hand,True
DISB-115438,BEN-309517,93.56,2026-05-13,Cash in Hand,True
DISB-771561,BEN-587069,25.25,2026-05-25,Cash in Hand,False
DISB-519495,BEN-426698,106.92,2025-12-10,Bank Transfer,True
DISB-594397,BEN-808199,26.04,2025-10-24,Bank Transfer,True
DISB-489668,BEN-522841,127.85,2026-01-20,Bank Transfer,True
DISB-953972,BEN-325475,104.98,2025-11-09,Mobile Money,True
DISB-446274,BEN-331341,48.98,2025-07-24,Bank Transfer,True
DISB-297075,BEN-383317,20.86,2025-08-26,Voucher,True
DISB-869968,BEN-151408,56.51,2025-07-19,Cash in Hand,True
DISB-919135,BEN-823679,105.94,2026-04-29,Bank Transfer,True
DISB-970469,BEN-491671,82.27,2025-10-23,Voucher,False
DISB-567371,BEN-251361,97.01,2026-03-20,Mobile Money,True
DISB-193105,BEN-658788,53.57,2025-10-10,Voucher,True
DISB-553157,BEN-237115,134.21,2026-02-10,Bank Transfer,True
DISB-931458,BEN-878449,149.06,2025-11-20,Cash in Hand,True
DISB-496253,BEN-634985,123.3,2025-10-03,Cash in Hand,True
DISB-668232,BEN-658788,114.14,2026-01-21,Voucher,True
DISB-966183,BEN-993470,70.11,2025-06-25,Cash in Hand,True
DISB-734701,BEN-376992,74.57,2025-12-05,Mobile Money,True
DISB-195801,BEN-930207,25.07,2025-12-30,Mobile Money,False
DISB-100744,BEN-619789,98.45,2025-09-04,Voucher,True
DISB-886907,BEN-854589,110.69,2025-07-12,Voucher,True
DISB-958753,BEN-729615,124.6,2025-07-22,Mobile Money,True
DISB-423641,BEN-127150,50.23,2025-05-30,Bank Transfer,True
DISB-711777,BEN-329418,44.57,2025-06-13,Mobile Money,True
DISB-532694,BEN-531000,68.75,2026-04-13,Bank Transfer,True
DISB-484740,BEN-147554,104.7,2025-12-26,Voucher,True
DISB-949484,BEN-494137,71.67,2025-08-02,Voucher,True
DISB-399433,BEN-989104,52.99,2025-12-27,Bank Transfer,True
DISB-525132,BEN-692502,131.15,2026-03-27,Cash in Hand,True
DISB-691816,BEN-597492,33.04,2026-02-11,Bank Transfer,True
DISB-305036,BEN-376992,111.88,2025-10-16,Mobile Money,True
DISB-959803,BEN-604750,140.36,2026-03-15,Mobile Money,True
DISB-141072,BEN-837350,24.91,2026-03-15,Voucher,True
DISB-516764,BEN-939526,145.26,2025-08-23,Cash in Hand,True
DISB-881167,BEN-559671,130.57,2025-06-02,Bank Transfer,True
DISB-713793,BEN-863929,87.06,2025-09-25,Cash in Hand,True
DISB-271948,BEN-777402,20.04,2026-04-02,Bank Transfer,True
DISB-865471,BEN-762345,72.71,2025-07-26,Mobile Money,True
DISB-662847,BEN-817443,91.45,2025-12-27,Bank Transfer,True
DISB-645878,BEN-829988,98.83,2025-11-21,Voucher,True
DISB-736758,BEN-104040,85.81,2025-08-13,Bank Transfer,True
DISB-905039,BEN-490694,144.37,2025-09-27,Bank Transfer,True
DISB-326780,BEN-497794,82.87,2026-03-31,Bank Transfer,True
DISB-994876,BEN-585190,136.55,2026-03-29,Voucher,True
DISB-686907,BEN-522841,122.53,2026-03-25,Cash in Hand,True
DISB-219975,BEN-734210,1832.18,2026-05-09,Cash in Hand,True
DISB-419763,BEN-906564,126.74,2025-10-13,Cash in Hand,True
DISB-270151,BEN-609957,94.58,2025-11-12,Cash in Hand,True
DISB-177331,BEN-757301,51.47,2026-03-27,Cash in Hand,True
DISB-866436,BEN-444627,66.28,2026-02-09,Mobile Money,True
DISB-767895,BEN-519435,1857.09,2025-07-16,Mobile Money,True
DISB-598419,BEN-129771,84.0,2025-11-03,Bank Transfer,True
DISB-950317,BEN-525596,86.45,2026-02-18,Cash in Hand,False
DISB-467640,BEN-569188,142.16,2025-07-05,Bank Transfer,True
DISB-772782,BEN-435980,79.44,2026-05-12,Voucher,True
DISB-578175,BEN-926201,107.63,2025-12-08,Mobile Money,True
DISB-399672,BEN-429757,44.33,2025-08-13,Bank Transfer,True
DISB-513017,BEN-965563,43.91,2025-09-16,Voucher,True
DISB-876959,BEN-382947,72.08,2026-01-29,Cash in Hand,True
DISB-644232,BEN-347734,32.98,2025-12-06,Cash in Hand,True
DISB-557764,BEN-932219,38.96,2025-11-13,Cash in Hand,True
DISB-510913,BEN-777323,74.8,2025-09-25,Bank Transfer,True
DISB-586988,BEN-998013,131.61,2026-01-22,Mobile Money,True
DISB-415896,BEN-347734,53.06,2025-09-20,Mobile Money,True
DISB-749927,BEN-544369,66.84,2025-05-29,Bank Transfer,True
DISB-808154,BEN-514884,132.76,2026-03-21,Cash in Hand,True
DISB-358678,BEN-156170,42.69,2025-10-28,Bank Transfer,True
DISB-826015,BEN-354810,115.75,2025-12-27,Voucher,True
DISB-589034,BEN-955677,38.83,2025-12-10,Bank Transfer,True
DISB-710643,BEN-604720,130.36,2026-01-30,Cash in Hand,True
DISB-125806,BEN-782142,57.88,2025-11-03,Voucher,True
DISB-654234,BEN-703245,142.04,2026-05-08,Voucher,True
DISB-341234,BEN-941119,36.26,2025-08-21,Bank Transfer,True
DISB-603321,BEN-731319,47.37,2025-08-27,Mobile Money,False
DISB-578563,BEN-318947,27.0,2026-01-25,Mobile Money,True
DISB-939054,BEN-690450,105.13,2026-05-02,Bank Transfer,True
DISB-975379,BEN-525577,101.44,2026-01-23,Cash in Hand,False
DISB-855344,BEN-974262,138.99,2025-11-13,Voucher,True
DISB-601756,BEN-535293,91.31,2026-01-09,Cash in Hand,True
DISB-297855,BEN-906564,102.66,2026-01-27,Bank Transfer,True
DISB-821429,BEN-949586,124.61,2026-02-05,Bank Transfer,True
DISB-182870,BEN-107763,20.01,2025-11-04,Cash in Hand,True
DISB-750527,BEN-751709,109.41,2025-06-04,Voucher,True
DISB-382033,BEN-601074,58.08,2025-09-18,Mobile Money,True
DISB-446241,BEN-808199,92.87,2025-11-04,Cash in Hand,True
DISB-180493,BEN-667689,69.19,2025-12-22,Voucher,True
DISB-779464,BEN-868895,138.29,2025-08-19,Bank Transfer,True
DISB-347361,BEN-857669,54.95,2026-02-26,Mobile Money,True
DISB-333849,BEN-660204,79.19,2025-10-19,Voucher,True
DISB-259542,BEN-874012,26.45,2025-06-15,Cash in Hand,True
DISB-608313,BEN-835758,112.98,2025-11-17,Cash in Hand,False
DISB-940787,BEN-751609,48.23,2025-10-20,Voucher,True
DISB-193684,BEN-648691,24.13,2026-05-21,Cash in Hand,False
DISB-170288,BEN-184266,90.61,2025-08-09,Bank Transfer,True
DISB-922621,BEN-997284,146.7,2026-05-01,Voucher,True
DISB-946042,BEN-822431,149.29,2026-03-27,Mobile Money,True
DISB-410305,BEN-341560,70.59,2025-06-23,Bank Transfer,True
DISB-547911,BEN-502955,141.86,2025-09-28,Bank Transfer,True
DISB-637037,BEN-544369,135.38,2025-07-08,Cash in Hand,True
DISB-181040,BEN-667582,62.19,2025-07-26,Bank Transfer,True
DISB-336261,BEN-896588,21.16,2025-12-31,Voucher,True
DISB-320927,BEN-883322,31.63,2026-04-27,Mobile Money,True
DISB-458467,BEN-915195,149.61,2025-05-30,Mobile Money,True
DISB-185351,BEN-888842,122.89,2025-08-06,Cash in Hand,True
DISB-401630,BEN-310946,118.37,2026-01-20,Voucher,True
DISB-605201,BEN-993470,66.56,2025-08-09,Mobile Money,True
DISB-920811,BEN-852385,90.56,2026-01-22,Cash in Hand,True
DISB-800752,BEN-751597,55.79,2025-06-23,Cash in Hand,False
DISB-959554,BEN-223406,126.52,2025-09-05,Voucher,False
DISB-298988,BEN-959318,115.38,2025-11-16,Bank Transfer,True
DISB-546994,BEN-123245,28.23,2026-01-27,Voucher,True
DISB-201133,BEN-127150,91.69,2025-07-28,Bank Transfer,True
DISB-848953,BEN-982714,88.02,2025-06-27,Cash in Hand,True
DISB-726286,BEN-419602,83.1,2026-03-06,Voucher,True
DISB-934706,BEN-178119,96.74,2026-04-01,Cash in Hand,True
DISB-983678,BEN-844775,139.73,2025-08-23,Mobile Money,True
DISB-497242,BEN-544369,92.54,2026-03-11,Voucher,True
DISB-421884,BEN-542846,127.07,2025-10-25,Mobile Money,True
DISB-693661,BEN-235854,142.8,2026-02-15,Mobile Money,True
DISB-267480,BEN-921339,44.63,2026-01-02,Cash in Hand,True
DISB-674960,BEN-655148,117.4,2026-01-29,Mobile Money,True
DISB-420894,BEN-330288,79.63,2026-02-09,Mobile Money,True
DISB-275040,BEN-610140,85.61,2025-11-16,Voucher,True
DISB-772879,BEN-955641,148.89,2025-12-24,Bank Transfer,True
DISB-286938,BEN-835400,114.36,2025-08-01,Cash in Hand,True
DISB-236353,BEN-502955,53.03,2026-04-03,Voucher,True
DISB-873388,BEN-457656,24.51,2025-10-27,Mobile Money,True
DISB-540816,BEN-545629,20.85,2025-10-26,Cash in Hand,True
DISB-826571,BEN-407622,142.64,2025-10-08,Cash in Hand,False
DISB-244919,BEN-988359,37.99,2025-10-30,Cash in Hand,True
DISB-729699,BEN-588448,94.16,2026-03-14,Cash in Hand,True
DISB-678250,BEN-648691,82.73,2025-08-16,Mobile Money,True
DISB-376353,BEN-834850,125.08,2025-11-26,Mobile Money,True
DISB-322371,BEN-218260,126.23,2025-11-26,Mobile Money,True
DISB-878645,BEN-782142,130.43,2025-11-17,Voucher,False
DISB-254993,BEN-733928,90.19,2026-04-27,Cash in Hand,True
DISB-550045,BEN-431052,146.24,2026-03-05,Mobile Money,True
DISB-705538,BEN-431052,39.24,2025-10-04,Voucher,True
DISB-301220,BEN-663983,54.13,2026-04-25,Voucher,True
DISB-471208,BEN-357377,82.52,2026-04-12,Voucher,True
DISB-394760,BEN-956234,149.62,2025-08-30,Cash in Hand,False
DISB-431909,BEN-852525,109.02,2026-04-05,Mobile Money,True
DISB-635977,BEN-232525,44.76,2025-12-22,Mobile Money,True
DISB-523256,BEN-514884,100.11,2025-10-29,Voucher,True
DISB-559061,BEN-480552,126.36,2025-07-11,Bank Transfer,True
DISB-390484,BEN-690450,34.61,2025-12-27,Cash in Hand,True
DISB-634259,BEN-741209,64.63,2025-06-22,Bank Transfer,True
DISB-688308,BEN-357977,116.2,2026-04-24,Bank Transfer,True
DISB-332546,BEN-175366,110.36,2026-04-30,Voucher,True
DISB-261442,BEN-854589,53.21,2026-03-14,Cash in Hand,True
DISB-766390,BEN-455795,80.44,2026-04-11,Mobile Money,True
DISB-605976,BEN-891389,138.67,2025-09-16,Mobile Money,False
DISB-884926,BEN-359737,70.25,2025-10-25,Mobile Money,True
DISB-115273,BEN-965292,89.1,2026-05-24,Voucher,True
DISB-992797,BEN-341086,52.16,2025-10-10,Bank Transfer,True
DISB-959626,BEN-237115,65.08,2025-06-12,Bank Transfer,True
DISB-623144,BEN-287754,55.86,2026-04-18,Bank Transfer,True
DISB-764595,BEN-647488,148.75,2025-06-08,Bank Transfer,True
DISB-220309,BEN-431052,105.4,2025-12-02,Voucher,True
DISB-451147,BEN-864566,101.32,2025-10-13,Cash in Hand,True
DISB-374736,BEN-337644,138.27,2026-03-25,Cash in Hand,True
DISB-596865,BEN-613863,108.93,2025-08-17,Cash in Hand,True
DISB-784380,BEN-772147,138.24,2026-03-15,Cash in Hand,True
DISB-237410,BEN-188534,61.27,2026-05-18,Mobile Money,True
DISB-845505,BEN-518507,114.52,2025-09-10,Voucher,True
DISB-526823,BEN-502955,141.39,2025-07-24,Bank Transfer,True
DISB-936388,BEN-145299,44.02,2025-10-15,Bank Transfer,True
DISB-330629,BEN-965292,50.18,2025-08-27,Bank Transfer,False
DISB-702826,BEN-726368,85.3,2026-02-05,Bank Transfer,True
DISB-835916,BEN-341560,37.88,2025-09-12,Mobile Money,True
DISB-817927,BEN-480552,55.08,2025-11-01,Cash in Hand,True
DISB-594471,BEN-142999,144.11,2026-05-13,Voucher,True
DISB-127972,BEN-997732,52.08,2026-03-26,Mobile Money,True
DISB-646546,BEN-558916,60.68,2026-02-17,Mobile Money,True
DISB-474182,BEN-856657,134.11,2025-12-17,Cash in Hand,True
DISB-498135,BEN-757301,25.1,2025-07-16,Mobile Money,True
DISB-194725,BEN-420846,59.59,2025-11-14,Voucher,True
DISB-180621,BEN-190763,27.09,2025-09-30,Cash in Hand,True
DISB-666952,BEN-817443,113.94,2026-04-21,Cash in Hand,True
DISB-399087,BEN-200658,43.25,2025-12-15,Cash in Hand,True
DISB-248301,BEN-852525,109.92,2025-11-03,Cash in Hand,True
DISB-170909,BEN-726272,111.81,2025-08-11,Mobile Money,True
DISB-370262,BEN-648691,146.77,2025-06-24,Cash in Hand,True
DISB-780256,BEN-130072,42.22,2025-08-09,Cash in Hand,True
DISB-660910,BEN-130072,112.57,2026-01-15,Bank Transfer,True
DISB-616883,BEN-335865,101.44,2026-03-18,Cash in Hand,True
DISB-531240,BEN-870410,1497.63,2025-05-31,Voucher,True
DISB-220882,BEN-179818,134.75,2026-04-16,Voucher,True
DISB-378881,BEN-930207,98.01,2025-11-24,Bank Transfer,True
DISB-717064,BEN-835400,46.99,2025-12-20,Mobile Money,True
DISB-185928,BEN-382947,24.22,2026-04-17,Bank Transfer,True
DISB-263776,BEN-192079,74.2,2026-02-24,Bank Transfer,True
DISB-718883,BEN-595116,94.4,2025-06-16,Voucher,True
DISB-757739,BEN-145593,32.11,2025-09-19,Bank Transfer,True
DISB-121363,BEN-351248,75.55,2025-06-12,Bank Transfer,True
DISB-283736,BEN-974262,55.67,2026-04-12,Cash in Hand,True
DISB-368831,BEN-192079,94.28,2025-12-02,Mobile Money,True
DISB-341783,BEN-826746,122.46,2026-01-14,Voucher,True
DISB-433413,BEN-721931,94.77,2026-05-21,Cash in Hand,True
DISB-491155,BEN-913724,102.14,2026-01-19,Cash in Hand,True
DISB-612999,BEN-116822,1023.99,2025-06-18,Mobile Money,True
DISB-106350,BEN-956234,149.87,2026-03-18,Bank Transfer,True
DISB-783184,BEN-421055,21.47,2026-01-28,Bank Transfer,True
DISB-411229,BEN-908313,85.87,2025-08-24,Mobile Money,True
DISB-123584,BEN-762345,114.17,2025-06-20,Mobile Money,True
DISB-321229,BEN-123510,63.93,2026-05-07,Voucher,True
DISB-902040,BEN-315362,40.2,2025-07-12,Bank Transfer,True
DISB-674477,BEN-355833,116.54,2025-12-25,Bank Transfer,True
DISB-518343,BEN-868768,89.67,2026-05-23,Bank Transfer,True
DISB-987837,BEN-708724,28.61,2025-12-10,Mobile Money,True
DISB-447942,BEN-609187,129.51,2025-09-17,Voucher,True
DISB-585589,BEN-442746,117.7,2026-03-01,Bank Transfer,True
DISB-976733,BEN-604150,84.62,2025-08-06,Voucher,True
DISB-757049,BEN-772147,59.3,2025-07-28,Mobile Money,True
DISB-765220,BEN-706919,85.78,2025-06-08,Cash in Hand,True
DISB-232182,BEN-505793,133.6,2025-08-27,Bank Transfer,True
DISB-610330,BEN-407622,147.7,2025-06-08,Cash in Hand,True
DISB-746980,BEN-374164,112.78,2025-06-26,Mobile Money,True
DISB-918543,BEN-942594,97.26,2026-03-14,Voucher,True
DISB-749013,BEN-127150,105.67,2026-05-16,Bank Transfer,True
DISB-741697,BEN-156914,45.03,2026-04-07,Bank Transfer,True
DISB-912622,BEN-535293,39.41,2026-01-13,Mobile Money,True
DISB-500149,BEN-749923,46.86,2025-11-27,Bank Transfer,True
DISB-476349,BEN-347198,56.82,2026-03-18,Mobile Money,True
DISB-872673,BEN-749873,77.67,2026-03-03,Voucher,True
DISB-719293,BEN-296172,26.99,2025-08-16,Cash in Hand,True
DISB-734041,BEN-359948,128.7,2026-02-18,Bank Transfer,True
DISB-656407,BEN-871821,118.59,2026-02-08,Mobile Money,True
DISB-300584,BEN-723532,93.81,2026-05-24,Voucher,False
DISB-293752,BEN-151408,112.33,2026-05-10,Cash in Hand,True
DISB-656702,BEN-327786,100.2,2026-02-10,Voucher,True
DISB-277212,BEN-862915,122.54,2025-09-01,Voucher,True
DISB-788335,BEN-665445,65.69,2025-11-22,Cash in Hand,True
DISB-406146,BEN-798138,36.56,2026-02-10,Mobile Money,True
DISB-920025,BEN-648691,59.28,2026-05-24,Voucher,True
DISB-998512,BEN-162448,146.61,2025-10-24,Bank Transfer,True
DISB-223068,BEN-361216,121.96,2026-02-02,Bank Transfer,True
DISB-466244,BEN-519435,107.05,2025-08-29,Voucher,True
DISB-168832,BEN-430597,92.16,2025-11-12,Cash in Hand,True
DISB-999172,BEN-737893,34.14,2025-08-25,Voucher,True
DISB-879778,BEN-227637,31.77,2025-06-16,Mobile Money,True
DISB-399572,BEN-993891,89.06,2025-10-01,Voucher,True
DISB-442865,BEN-368222,58.97,2025-07-14,Bank Transfer,True
DISB-577076,BEN-772795,147.74,2026-01-15,Mobile Money,True
DISB-706902,BEN-863929,72.55,2025-11-07,Bank Transfer,False
DISB-137077,BEN-955541,26.91,2026-01-23,Bank Transfer,True
DISB-889726,BEN-744444,50.58,2025-07-13,Voucher,True
DISB-636785,BEN-604720,69.6,2025-10-24,Cash in Hand,True
DISB-593160,BEN-296172,129.63,2025-12-01,Voucher,True
DISB-195636,BEN-485046,1648.39,2026-01-14,Cash in Hand,True
DISB-185138,BEN-186595,146.75,2026-03-03,Cash in Hand,True
DISB-535245,BEN-851332,136.17,2026-05-28,Voucher,True
DISB-714835,BEN-915989,91.77,2025-08-18,Bank Transfer,True
DISB-690648,BEN-531000,95.13,2026-02-08,Cash in Hand,True
DISB-405409,BEN-142999,91.0,2025-12-19,Mobile Money,True
DISB-752937,BEN-665445,95.43,2025-08-14,Mobile Money,True
DISB-797299,BEN-380448,147.88,2025-10-28,Voucher,True
DISB-813809,BEN-885726,31.5,2025-08-23,Mobile Money,True
DISB-862092,BEN-147094,60.62,2025-12-28,Bank Transfer,True
DISB-102424,BEN-532966,79.02,2026-04-17,Bank Transfer,True
DISB-387283,BEN-601074,58.3,2026-01-26,Bank Transfer,True
DISB-859765,BEN-227637,101.81,2025-05-30,Mobile Money,True
DISB-251685,BEN-822431,101.16,2026-01-03,Mobile Money,True
DISB-370383,BEN-436037,56.12,2025-05-30,Bank Transfer,True
DISB-848306,BEN-896189,34.5,2025-07-17,Cash in Hand,True
DISB-574276,BEN-435980,53.96,2026-05-25,Voucher,True
DISB-281669,BEN-756550,64.57,2025-12-15,Cash in Hand,True
DISB-273878,BEN-696729,84.47,2025-06-20,Voucher,True
DISB-582277,BEN-660204,41.75,2025-06-10,Bank Transfer,False
DISB-500196,BEN-252312,35.08,2025-12-18,Voucher,True
DISB-112415,BEN-309517,117.82,2026-01-23,Voucher,True
DISB-656614,BEN-173780,38.87,2025-08-28,Mobile Money,True
DISB-178819,BEN-407504,108.2,2026-03-12,Mobile Money,False
DISB-576398,BEN-708724,144.3,2025-07-14,Bank Transfer,True
DISB-727733,BEN-181089,53.19,2025-10-19,Voucher,True
DISB-883953,BEN-505793,107.35,2026-03-06,Bank Transfer,True
DISB-345548,BEN-406128,91.19,2025-06-25,Mobile Money,False
DISB-674901,BEN-227519,109.11,2025-10-05,Bank Transfer,True
DISB-379366,BEN-803606,31.95,2025-05-30,Cash in Hand,True
DISB-457355,BEN-675741,144.51,2025-06-10,Cash in Hand,True
DISB-833484,BEN-252243,93.59,2026-02-25,Mobile Money,True
DISB-411638,BEN-751597,105.86,2025-11-29,Voucher,True
DISB-729560,BEN-147554,109.99,2025-12-02,Bank Transfer,True
DISB-353559,BEN-434050,121.02,2026-04-30,Bank Transfer,True
DISB-392055,BEN-347734,54.41,2025-12-13,Voucher,True
DISB-910671,BEN-431052,43.2,2026-02-25,Cash in Hand,True
DISB-851784,BEN-890608,103.63,2025-06-07,Bank Transfer,True
DISB-513179,BEN-242183,114.58,2025-09-26,Mobile Money,True
DISB-168650,BEN-356529,20.11,2026-05-17,Voucher,True
DISB-588690,BEN-331499,1707.61,2025-07-07,Voucher,True
DISB-708037,BEN-973409,121.52,2025-12-28,Cash in Hand,False
DISB-534295,BEN-340459,121.38,2025-09-14,Bank Transfer,True
DISB-620199,BEN-795049,102.2,2025-10-01,Mobile Money,True
DISB-639245,BEN-510752,30.46,2025-06-29,Bank Transfer,True
DISB-264453,BEN-341086,145.78,2025-08-28,Bank Transfer,True
DISB-387083,BEN-359948,109.55,2026-02-26,Voucher,True
DISB-565024,BEN-354115,23.3,2025-10-14,Cash in Hand,True
DISB-320104,BEN-749873,103.64,2026-03-31,Voucher,True
DISB-737836,BEN-200436,64.11,2026-03-13,Mobile Money,True
DISB-403784,BEN-782142,106.75,2025-09-25,Cash in Hand,True
DISB-146300,BEN-184266,24.79,2025-07-10,Mobile Money,True
DISB-475567,BEN-683001,51.55,2025-08-02,Mobile Money,True
DISB-115679,BEN-938168,126.7,2025-07-25,Cash in Hand,True
DISB-406930,BEN-340459,33.82,2026-03-05,Cash in Hand,False
DISB-517319,BEN-770476,125.5,2025-07-07,Voucher,True
DISB-527613,BEN-798138,90.97,2026-03-29,Cash in Hand,True
DISB-499795,BEN-176818,28.22,2025-06-23,Voucher,True
DISB-105033,BEN-247932,77.03,2025-09-02,Mobile Money,True
DISB-441586,BEN-543125,99.62,2025-10-04,Mobile Money,True
DISB-974087,BEN-531000,43.32,2025-07-24,Bank Transfer,True
DISB-312345,BEN-690277,81.88,2026-04-17,Cash in Hand,True
DISB-780602,BEN-174425,51.1,2025-07-14,Mobile Money,True
DISB-229171,BEN-634125,143.54,2025-06-02,Bank Transfer,True
DISB-356774,BEN-574541,50.63,2025-12-23,Mobile Money,True
DISB-421185,BEN-749873,85.98,2026-01-11,Cash in Hand,True
